Germany	                    Translation and description
====================        ==========================================================================================
Raesfeld                    Location, Municipality in Germany, https://en.wikipedia.org/wiki/Raesfeld	
Flughafen                   airport
Berlin                      Location, Capital of Germany, https://en.wikipedia.org/wiki/Berlin
Bratwurst                   sausage
Hauptstrasse                Main road
Brot                        Bread
Klimaanlage                 air conditioner
Rammstein                   A German metal band formed in Berlin, https://en.wikipedia.org/wiki/Rammstein
Porsche                     A German automobile manufacture - performance, https://en.wikipedia.org/wiki/Porsche
BMW                         A German automobile manufacture - luxury, https://en.wikipedia.org/wiki/BMW
Biergarten                  beer garden (outdoor area where beer and food are served)
Ratskeller                  bar or restant located in basement of a city hall, https://en.wikipedia.org/wiki/Ratskeller
Dirndel                     a feminine dress originated in German-speaking areas of the Alps, https://en.wikipedia.org/wiki/Dirndl
Lederhose                   leather pants, https://en.wikipedia.org/wiki/Lederhosen                   
Schloss                     lock
wettbewerbsfaehig           competitive
Mehlhase                    Dr Mehlhase, 395,536th most common surname in the world most prevalent in Germany - https://forebears.io/surnames/mehlhase
Gebaeck                     pastries
Baeckerei                   bakery
Hund                        dog
Doener                      Doner kebab (gyros in U.S.)
Apfelkuchen                 Apple cake/pie
Eltz                        location, casetle between Koblenz and Trier, Germany, https://en.wikipedia.org/wiki/Eltz_Castle
